mal_id,title,title_english,title_japanese,score,scored_by,rank,popularity,members,favorites,episodes,duration,year,season,type,status,rating,source,genres,themes,demographics,studios,producers,licensors,synopsis,background
52991,Sousou no Frieren,Frieren: Beyond Journey's End,葬送のフリーレン,9.29,772011,1.0,121,1280583,80276,28.0,24 min per ep,2023.0,fall,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Adventure, Drama, Fantasy",,Shounen,Madhouse,"Aniplex, Dentsu, Shogakukan-Shueisha Productions, Nippon Television Network, TOHO animation, Shogakukan",Crunchyroll,"During their decade-long quest to defeat the Demon King, the members of the hero's party—Himmel himself, the priest Heiter, the dwarf warrior Eisen, and the elven mage Frieren—forge bonds through adventures and battles, creating unforgettable precious memories for most of them.

However, the time that Frieren spends with her comrades is equivalent to merely a fraction of her life, which has lasted over a thousand years. When the party disbands after their victory, Frieren casually returns to her","Sousou no Frieren was released on Blu-ray and DVD in seven volumes from January 24, 2024, to July 17, 2024. The series aired on Nippon TV's Friday Anime Night block."
57555,Chainsaw Man Movie: Reze-hen,Chainsaw Man – The Movie: Reze Arc,劇場版 チェンソーマン レゼ篇,9.14,170875,2.0,860,319437,9033,1.0,1 hr 39 min,,,Movie,Finished Airing,R - 17+ (violence & profanity),Manga,"Action, Fantasy","Gore, Urban Fantasy",Shounen,MAPPA,,,Sequel to Chainsaw Man.,
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,9.1,2268351,3.0,3,3609024,238695,64.0,24 min per ep,2009.0,spring,TV,Finished Airing,R - 17+ (violence & profanity),Manga,"Action, Adventure, Drama, Fantasy",Military,Shounen,Bones,"Aniplex, Square Enix, Mainichi Broadcasting System, Techno Sound","Funimation, Aniplex of America","After a horrific alchemy experiment goes wrong in the Elric household, brothers Edward and Alphonse are left in a catastrophic new reality. Ignoring the alchemical principle banning human transmutation, the boys attempted to bring their recently deceased mother back to life. Instead, they suffered brutal personal loss: Alphonse's body disintegrated while Edward lost a leg and then sacrificed an arm to keep Alphonse's soul in the physical realm by binding it to a hulking suit of armor.

The broth",
9253,Steins;Gate,Steins;Gate,STEINS;GATE,9.07,1494581,4.0,14,2759961,199541,24.0,24 min per ep,2011.0,spring,TV,Finished Airing,PG-13 - Teens 13 or older,Visual novel,"Drama, Sci-Fi, Suspense","Psychological, Time Travel",,White Fox,"Frontier Works, Media Factory, Kadokawa Shoten, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",Funimation,"Eccentric scientist Rintarou Okabe has a never-ending thirst for scientific exploration. Together with his ditzy but well-meaning friend Mayuri Shiina and his roommate Itaru Hashida, Okabe founds the Future Gadget Laboratory in the hopes of creating technological innovations that baffle the human psyche. Despite claims of grandeur, the only notable ""gadget"" the trio have created is a microwave that has the mystifying power to turn bananas into green goo.

However, when Okabe attends a conference",Steins;Gate is based on 5pb. and Nitroplus' visual novel of the same title released in 2009. It serves as the second entry in the Science Adventure series.
61517,Kingdom 6th Season,Kingdom: Season 6,キングダム 第6シリーズ,9.05,5046,6.0,4729,27470,370,13.0,24 min per ep,2025.0,fall,TV,Currently Airing,R - 17+ (violence & profanity),Manga,Action,"Historical, Military",Seinen,"Studio Pierrot, Studio Signpost","Avex Pictures, Shueisha, NHK Enterprises",,"In ancient China, during the Warring States period, a former servant named Xin rises through the ranks with a dream: to become the greatest general under the heavens. Fighting alongside King Ying Zheng of Qin—who seeks to unify China and end the chaos—Xin leads his own unit, the Fei Xin Force, onto the battlefield.

With power reclaimed from the influential Chancellor Buwei Lü, King Ying Zheng begins laying the groundwork for a new, unified legal state with the support of key allies like strateg",
38524,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,進撃の巨人 Season3 Part.2,9.05,1748977,5.0,21,2526152,62287,10.0,23 min per ep,2019.0,spring,TV,Finished Airing,R - 17+ (violence & profanity),Manga,"Action, Drama, Suspense","Gore, Military, Survival",Shounen,Wit Studio,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Techno Sound, Pony Canyon Enterprises",Funimation,"Seeking to restore humanity's diminishing hope, the Survey Corps embark on a mission to retake Wall Maria, where the battle against the merciless ""Titans"" takes the stage once again.

Returning to the tattered Shiganshina District that was once his home, Eren Yeager and the Corps find the town oddly unoccupied by Titans. Even after the outer gate is plugged, they strangely encounter no opposition. The mission progresses smoothly until Armin Arlert, highly suspicious of the enemy's absence, disco",Shingeki no Kyojin Season 3 Part 2 adapts content from volumes 18-22 of Hajime Isayama's award-winning manga of the same name.
28977,Gintama°,Gintama Season 4,銀魂°,9.05,268584,7.0,347,680911,17374,51.0,24 min per ep,2015.0,spring,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Action, Comedy, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Bandai Namco Pictures,"TV Tokyo, Aniplex, Dentsu","Funimation, Crunchyroll","Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?

Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injure",
39486,Gintama: The Final,Gintama: The Very Final,銀魂 THE FINAL,9.05,84072,7.0,1512,177623,4594,1.0,1 hr 44 min,,,Movie,Finished Airing,PG-13 - Teens 13 or older,Manga,"Action, Comedy, Drama, Sci-Fi","Gag Humor, Historical, Parody, Samurai",Shounen,Bandai Namco Pictures,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Eleven Arts,"Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo.

Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana","As of March 2021, Gintama: The Final has earned a franchise record of 1.85 billion yen (16.94 million USD) and debuted at No. 1 at the Japanese box office. The film concludes the Gintama anime series,"
11061,Hunter x Hunter (2011),Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,9.03,1933452,9.0,8,3114174,225797,148.0,23 min per ep,2011.0,fall,TV,Finished Airing,PG-13 - Teens 13 or older,Manga,"Action, Adventure, Fantasy",,Shounen,Madhouse,"VAP, Nippon Television Network, Shueisha",VIZ Media,"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will me",
60022,One Piece Fan Letter,,ONE PIECE FAN LETTER,9.02,99280,13.0,1873,136842,2439,1.0,24 min,,,TV Special,Finished Airing,PG-13 - Teens 13 or older,Light novel,"Action, Adventure, Fantasy",,Shounen,Toei Animation,,,"Although the golden age of piracy is about to reach new heights, most people do not seek the glory of finding the elusive One Piece—a treasure signifying a new conqueror of all seas that was once embodied by the legendary King of the Pirates, Gol D. Roger. However, even if civilians generally despise pirates, they secretly cheer for at least one of them. 

One red-headed girl from Sabaody Archipelago is no exception: She reveres Nami, the ingenious female navigator of Monkey D. Luffy's Straw Hat",This work serves to commemorate the 25th anniversary of the One Piece anime.
