mal_id,title,score,rank,popularity,members,episodes,year,type,status,genres,studios,source
52991,Sousou no Frieren,9.29,1.0,131,1205754,28.0,2023.0,TV,Finished Airing,"Adventure, Drama, Fantasy",Madhouse,Manga
5114,Fullmetal Alchemist: Brotherhood,9.1,2.0,3,3566713,64.0,2009.0,TV,Finished Airing,"Action, Adventure, Drama, Fantasy",Bones,Manga
9253,Steins;Gate,9.07,3.0,14,2730289,24.0,2011.0,TV,Finished Airing,"Drama, Sci-Fi, Suspense",White Fox,Visual novel
38524,Shingeki no Kyojin Season 3 Part 2,9.05,4.0,21,2487676,10.0,2019.0,TV,Finished Airing,"Action, Drama, Suspense",Wit Studio,Manga
28977,Gintama°,9.05,6.0,343,674723,51.0,2015.0,TV,Finished Airing,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,Manga
39486,Gintama: The Final,9.05,5.0,1517,173679,1.0,,Movie,Finished Airing,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures,Manga
60022,One Piece Fan Letter,9.03,8.0,1971,124902,1.0,,TV Special,Finished Airing,"Action, Adventure, Fantasy",Toei Animation,Light novel
11061,Hunter x Hunter (2011),9.03,7.0,8,3070732,148.0,2011.0,TV,Finished Airing,"Action, Adventure, Fantasy",Madhouse,Manga
9969,Gintama',9.02,10.0,405,596631,51.0,2011.0,TV,Finished Airing,"Action, Comedy, Sci-Fi",Sunrise,Manga
15417,Gintama': Enchousen,9.02,11.0,752,349149,13.0,2012.0,TV,Finished Airing,"Action, Comedy, Sci-Fi",Sunrise,Manga
820,Ginga Eiyuu Densetsu,9.02,9.0,751,349503,110.0,,OVA,Finished Airing,"Drama, Sci-Fi","K-Factory, Kitty Film Mitaka Studio",Novel
41467,Bleach: Sennen Kessen-hen,8.99,12.0,362,656074,13.0,2022.0,TV,Finished Airing,"Action, Adventure, Supernatural",Studio Pierrot,Manga
34096,Gintama.,8.98,13.0,784,339056,12.0,2017.0,TV,Finished Airing,"Action, Comedy, Sci-Fi",Bandai Namco Pictures,Manga
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.97,14.0,166,1053945,13.0,2022.0,TV,Finished Airing,"Comedy, Romance",A-1 Pictures,Manga
42938,Fruits Basket: The Final,8.95,15.0,452,538855,13.0,2021.0,TV,Finished Airing,"Drama, Romance, Supernatural",TMS Entertainment,Manga
4181,Clannad: After Story,8.93,16.0,121,1256114,24.0,2008.0,TV,Finished Airing,"Drama, Romance",Kyoto Animation,Visual novel
918,Gintama,8.93,17.0,146,1126749,201.0,2006.0,TV,Finished Airing,"Action, Comedy, Sci-Fi",Sunrise,Manga
28851,Koe no Katachi,8.93,18.0,19,2517966,1.0,,Movie,Finished Airing,"Award Winning, Drama",Kyoto Animation,Manga
58514,Kusuriya no Hitorigoto 2nd Season,8.91,19.0,672,387656,24.0,2025.0,TV,Finished Airing,"Drama, Mystery","OLM, TOHO animation STUDIO",Light novel
2904,Code Geass: Hangyaku no Lelouch R2,8.91,20.0,47,1895454,25.0,2008.0,TV,Finished Airing,"Action, Award Winning, Drama, Sci-Fi",Sunrise,Original
35180,3-gatsu no Lion 2nd Season,8.9,21.0,593,428295,22.0,2017.0,TV,Finished Airing,Drama,Shaft,Manga
